Variable,Measure,Country,Year,Deaths,Population,Total Deaths Percent
Liver Cancer,Number of total deaths,Australia,2012,1490.0,22733465,0.0065542142387885
Liver Cancer,Number of total deaths,Australia,2013,1574.0,23128129,0.006805565638275366
Liver Cancer,Number of total deaths,Australia,2014,1732.0,23475686,0.0073778461681588345
Liver Cancer,Number of total deaths,Australia,2015,1820.0,23815995,0.007641923001747355
Liver Cancer,Number of total deaths,Australia,2016,1866.0,24190907,0.007713642154880758
Liver Cancer,Number of total deaths,Australia,2017,1917.0,24594202,0.0077945200254921874
Liver Cancer,Number of total deaths,Australia,2018,2105.0,24966643,0.00843124964778004
Liver Cancer,Number of total deaths,Australia,2019,2205.0,25340217,0.008701582942245522
Liver Cancer,Number of total deaths,Australia,2020,2192.0,25655289,0.008544047194323168
Liver Cancer,Number of total deaths,Austria,2012,896.0,8408121,0.01065636424594746
Liver Cancer,Number of total deaths,Austria,2013,897.0,8451860,0.010613048488735025
Liver Cancer,Number of total deaths,Austria,2014,899.0,8507786,0.010566791407306202
Liver Cancer,Number of total deaths,Austria,2015,917.0,8584926,0.010681513154568834
Liver Cancer,Number of total deaths,Austria,2016,807.0,8700471,0.009275359920169838
Liver Cancer,Number of total deaths,Austria,2017,920.0,8772865,0.010486881993510673
Liver Cancer,Number of total deaths,Austria,2018,858.0,8822267,0.009725391444171888
Liver Cancer,Number of total deaths,Austria,2019,871.0,8858775,0.009832059172966916
Liver Cancer,Number of total deaths,Austria,2020,847.0,8901064,0.009515716323351905
Liver Cancer,Number of total deaths,Belgium,2012,845.0,11075889,0.007629184438377813
Liver Cancer,Number of total deaths,Belgium,2013,895.0,11137974,0.008035572717264378
Liver Cancer,Number of total deaths,Belgium,2014,889.0,11180840,0.007951102063887865
Liver Cancer,Number of total deaths,Belgium,2015,936.0,11237274,0.008329422242440649
Liver Cancer,Number of total deaths,Belgium,2016,908.0,11311117,0.008027500732244217
Liver Cancer,Number of total deaths,Belgium,2017,954.0,11351727,0.008404007601662725
Liver Cancer,Number of total deaths,Belgium,2018,938.0,11398589,0.00822908870562839
Liver Cancer,Number of total deaths,Canada,2012,2528.0,34516352,0.007324064837442844
Liver Cancer,Number of total deaths,Canada,2013,2703.0,34883119,0.007748733706983026
Liver Cancer,Number of total deaths,Canada,2014,2710.0,35249639,0.007688021996480589
Liver Cancer,Number of total deaths,Canada,2015,2902.0,35575187,0.008157371035041924
Liver Cancer,Number of total deaths,Canada,2016,2991.0,35871136,0.008338180312995942
Liver Cancer,Number of total deaths,Canada,2017,3144.0,36314099,0.008657794318399584
Liver Cancer,Number of total deaths,Canada,2018,3154.0,36798408,0.008571022963819522
Liver Cancer,Number of total deaths,Canada,2019,3235.0,37325235,0.008667058626690495
Liver Cancer,Number of total deaths,Czechia,2012,779.0,10505445,0.007415202306994135
Liver Cancer,Number of total deaths,Czechia,2013,830.0,10516125,0.007892641063129242
Liver Cancer,Number of total deaths,Czechia,2014,826.0,10512419,0.00785737326489745
Liver Cancer,Number of total deaths,Czechia,2015,818.0,10538275,0.00776218119189336
Liver Cancer,Number of total deaths,Czechia,2016,829.0,10553843,0.007854958615548857
Liver Cancer,Number of total deaths,Czechia,2017,893.0,10578820,0.008441395165056216
Liver Cancer,Number of total deaths,Czechia,2018,927.0,10610055,0.008736995237065217
Liver Cancer,Number of total deaths,Czechia,2019,908.0,10649800,0.008525981708576687
Liver Cancer,Number of total deaths,Czechia,2020,872.0,10693939,0.008154151618033356
Liver Cancer,Number of total deaths,Denmark,2012,398.0,5580516,0.007131956973154454
Liver Cancer,Number of total deaths,Denmark,2013,410.0,5602628,0.00731799434122701
Liver Cancer,Number of total deaths,Denmark,2014,462.0,5627235,0.008210071198377177
Liver Cancer,Number of total deaths,Denmark,2015,440.0,5659715,0.007774243049340824
Liver Cancer,Number of total deaths,Denmark,2016,427.0,5707251,0.0074817105468114155
Liver Cancer,Number of total deaths,Denmark,2017,439.0,5748769,0.007636417466069692
Liver Cancer,Number of total deaths,Denmark,2018,482.0,5781190,0.008337383825821328
Liver Cancer,Number of total deaths,Denmark,2019,475.0,5806081,0.008181077735567244
Liver Cancer,Number of total deaths,Denmark,2020,456.0,5822763,0.007831333681278115
Liver Cancer,Number of total deaths,Finland,2012,484.0,5401267,0.008960860479587475
Liver Cancer,Number of total deaths,Finland,2013,453.0,5426674,0.008347654567051567
Liver Cancer,Number of total deaths,Finland,2014,489.0,5451270,0.008970386717223692
Liver Cancer,Number of total deaths,Finland,2016,527.0,5487308,0.009603980676863775
Liver Cancer,Number of total deaths,Finland,2017,543.0,5503297,0.009866812567084786
Liver Cancer,Number of total deaths,Finland,2018,533.0,5513130,0.009667829345580461
Liver Cancer,Number of total deaths,Finland,2019,572.0,5517919,0.010366226832978156
Liver Cancer,Number of total deaths,Finland,2020,563.0,5525292,0.010189506726522328
Liver Cancer,Number of total deaths,France,2012,8036.0,65276983,0.0123106179708091
Liver Cancer,Number of total deaths,France,2013,8120.0,65600350,0.01237798273942136
Liver Cancer,Number of total deaths,France,2014,8224.0,66165980,0.012429348133285414
Liver Cancer,Number of total deaths,France,2015,8371.0,66458153,0.012595896247673329
Liver Cancer,Number of total deaths,France,2016,8639.0,66638391,0.012963998485497646
Liver Cancer,Number of total deaths,France,2017,8392.0,66809816,0.012561028457255442
Liver Cancer,Number of total deaths,Germany,2012,7670.0,80327900,0.009548363644512056
Liver Cancer,Number of total deaths,Germany,2013,7467.0,80523746,0.009273041023203267
Liver Cancer,Number of total deaths,Germany,2014,7686.0,80767463,0.009516208278078512
Liver Cancer,Number of total deaths,Germany,2015,7842.0,81197537,0.009657928417212951
Liver Cancer,Number of total deaths,Germany,2016,8036.0,82175684,0.009779048507828667
Liver Cancer,Number of total deaths,Germany,2017,7910.0,82521653,0.009585363007694478
Liver Cancer,Number of total deaths,Germany,2018,7990.0,82792351,0.00965064997369141
Liver Cancer,Number of total deaths,Germany,2019,8168.0,83019213,0.00983868637733292
Liver Cancer,Number of total deaths,Germany,2020,8457.0,83166711,0.010168732054343235
Liver Cancer,Number of total deaths,Greece,2012,277.0,11086406,0.0024985554380743407
Liver Cancer,Number of total deaths,Greece,2013,261.0,11003615,0.002371947764439232
Liver Cancer,Number of total deaths,Greece,2014,1451.0,10926807,0.013279268133865638
Liver Cancer,Number of total deaths,Greece,2015,1558.0,10858018,0.014348843407701112
Liver Cancer,Number of total deaths,Greece,2016,1572.0,10783748,0.01457749198145209
Liver Cancer,Number of total deaths,Greece,2017,1422.0,10768193,0.013205558258474751
Liver Cancer,Number of total deaths,Greece,2018,1422.0,10741165,0.013238787412724783
Liver Cancer,Number of total deaths,Greece,2019,1480.0,10724599,0.013800049773422763
Liver Cancer,Number of total deaths,Greece,2020,1384.0,10718565,0.012912176210154997
