Variable,Measure,Country,Year,Deaths,Population,Total Deaths Percent
Lung Cancer,Number of total deaths,Australia,2012,8138.0,22733465,0.03579744662769182
Lung Cancer,Number of total deaths,Australia,2013,8215.0,23128129,0.03551951824550961
Lung Cancer,Number of total deaths,Australia,2014,8252.0,23475686,0.035151262459380314
Lung Cancer,Number of total deaths,Australia,2015,8470.0,23815995,0.03556433396967038
Lung Cancer,Number of total deaths,Australia,2016,8411.0,24190907,0.03476926268204826
Lung Cancer,Number of total deaths,Australia,2017,8265.0,24594202,0.03360548148705943
Lung Cancer,Number of total deaths,Australia,2018,8589.0,24966643,0.034401901769492996
Lung Cancer,Number of total deaths,Australia,2019,8825.0,25340217,0.034826063249576746
Lung Cancer,Number of total deaths,Australia,2020,8457.0,25655289,0.03296396310328058
Lung Cancer,Number of total deaths,Austria,2012,3673.0,8408121,0.04368395745018417
Lung Cancer,Number of total deaths,Austria,2013,3712.0,8451860,0.04391932663342744
Lung Cancer,Number of total deaths,Austria,2014,3908.0,8507786,0.04593439468270594
Lung Cancer,Number of total deaths,Austria,2015,3889.0,8584926,0.04530033223349857
Lung Cancer,Number of total deaths,Austria,2016,3949.0,8700471,0.04538834736648165
Lung Cancer,Number of total deaths,Austria,2017,3874.0,8772865,0.04415889222050037
Lung Cancer,Number of total deaths,Austria,2018,4053.0,8822267,0.04594057287089588
Lung Cancer,Number of total deaths,Austria,2019,3991.0,8858775,0.045051375613445424
Lung Cancer,Number of total deaths,Austria,2020,4047.0,8901064,0.04546647456978177
Lung Cancer,Number of total deaths,Belgium,2012,6308.0,11075889,0.05695253897903816
Lung Cancer,Number of total deaths,Belgium,2013,6483.0,11137974,0.058206277012318404
Lung Cancer,Number of total deaths,Belgium,2014,6527.0,11180840,0.05837665148593487
Lung Cancer,Number of total deaths,Belgium,2015,6274.0,11237274,0.055832046099436566
Lung Cancer,Number of total deaths,Belgium,2016,6299.0,11311117,0.055688576114984935
Lung Cancer,Number of total deaths,Belgium,2017,5805.0,11351727,0.05113759342521186
Lung Cancer,Number of total deaths,Belgium,2018,5861.0,11398589,0.05141864488666097
Lung Cancer,Number of total deaths,Canada,2012,19704.0,34516352,0.057085986375385214
Lung Cancer,Number of total deaths,Canada,2013,19645.0,34883119,0.05631663842903497
Lung Cancer,Number of total deaths,Canada,2014,20364.0,35249639,0.057770804404550076
